JOB_TITLE,Years_Of_Service,Age,Gender,Race,ObjectID,CreationDate,Creator,EditDate,Editor
Police Officer,2,27,Male,White,2001,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Male,White,2002,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,25,Male,White,2003,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,25,Male,White,2004,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,30,Female,White,2005,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,26,Male,White,2006,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,30,Male,White,2007,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Male,Black/African American,2008,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,28,Male,White,2009,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,28,Male,White,2010,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Male,White,2011,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,25,Male,Hispanic/Latino,2012,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,34,Female,White,2013,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,26,Female,Hispanic/Latino,2014,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Domestic Violence Counselor,2,35,Female,White,2015,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,28,Female,Black/African American,2016,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Female,Black/African American,2017,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,29,Male,Black/African American,2018,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,31,Male,White,2019,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,35,Male,Black/African American,2020,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Administrative Officer I,2,36,Female,Black/African American,2021,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Investigation Tech,2,40,Female,Asian / Pacific Islander,2022,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Data Analytics Specialist,3,31,Male,Black/African American,2023,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Investigation Tech,2,34,Male,Hispanic/Latino,2024,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,28,Male,White,2025,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Telecommunicator,2,25,Male,White,2026,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,3,25,Male,White,2027,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,36,Male,Black/African American,2028,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Investigation Tech,2,29,Female,White,2029,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Veterinary Technician,2,28,Female,White,2030,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Domestic Violence Counselor,2,42,Female,Black/African American,2031,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Male,White,2032,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Male,White,2033,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,26,Male,White,2034,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,36,Male,White,2035,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,27,Male,Hispanic/Latino,2036,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Crime Scene Technician,2,40,Female,White,2037,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Crime Scene Technician,2,25,Female,White,2038,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Grad Intern,2,68,Male,Not Specified,2039,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Bus Systems Spec Intrm,2,30,Male,Black/African American,2040,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Crime Scene Technician,2,25,Female,Black/African American,2041,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Telecommunicator,2,32,Female,Black/African American,2042,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,28,Male,White,2043,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,28,Male,Black/African American,2044,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,39,Female,Black/African American,2045,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,25,Male,White,2046,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,36,Male,Hispanic/Latino,2047,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Support Technician,2,26,Female,White,2048,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,28,Male,White,2049,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,34,Male,White,2050,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
N&BS Program Coordinator,2,48,Female,White,2051,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Male,White,2052,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Telecommunicator,2,25,Male,Hispanic/Latino,2053,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Male,White,2054,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,28,Male,Not Specified,2055,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,24,Male,Hispanic/Latino,2056,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,26,Male,Black/African American,2057,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,26,Male,White,2058,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,34,Male,Hispanic/Latino,2059,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,25,Male,White,2060,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,30,Male,White,2061,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,30,Male,White,2062,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,49,Male,White,2063,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
Police Officer,2,25,Male,White,2064,2019-04-08T09:01:54.997Z,CharlotteNC,2019-04-08T09:01:54.997Z,CharlotteNC
